"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#ab","ab","Alberta","Alberta Corporate Registry"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#bc","bc","British Columbia","BC Registries and Online Services"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#ca","ca","Corporations Canada","Corporations Canada"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#cra","cra","Canada Revenue Agency","Canada Revenue Agency"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#mb","mb","Manitoba","Manitoba Companies Office"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#nb","nb","New Brunswick","Corporate Registry - Service New Brunswick"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#nl","nl","Newfoundland and Labrador","Registry of Companies and Deeds"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#ns","ns","Nova Scotia","Nova Scotia Registry of Joint Stock Companies"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#nt","nt","Northwest Territories","Corporate Registries - Department of Justice"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#nu","nu","Nunavut","Corporate Registries - Department of Justice"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#on","on","Ontario","Ontario Business Registry"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#pe","pe","Prince Edward Island","Corporate Business Names Registry"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#qc","qc","Quebec","Registraire des entreprises du Québec"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#sk","sk","Saskatchewan","Corporate Registry - Information Services Corporation (ISC)"
"https://codelist.commonapproach.org/CanadianCorporateRegistries#yk","yk","Yukon","Corporate Affairs - Department of Community Services"
