"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://ontology.commonapproach.org/IRISImpactCategory#Agriculture","Agriculture","Agriculture",""
"https://ontology.commonapproach.org/IRISImpactCategory#Air","Air","Air",""
"https://ontology.commonapproach.org/IRISImpactCategory#BiodiversityandEcosystems","BiodiversityandEcosystems","Biodiversity and Ecosystems",""
"https://ontology.commonapproach.org/IRISImpactCategory#Climate","Climate","Climate",""
"https://ontology.commonapproach.org/IRISImpactCategory#DiversityandInclusion","DiversityandInclusion","Diversity and Inclusion",""
"https://ontology.commonapproach.org/IRISImpactCategory#Education","Education","Education",""
"https://ontology.commonapproach.org/IRISImpactCategory#Employment","Employment","Employment",""
"https://ontology.commonapproach.org/IRISImpactCategory#Energy","Energy","Energy",""
"https://ontology.commonapproach.org/IRISImpactCategory#FinancialServices","FinancialServices","Financial Services",""
"https://ontology.commonapproach.org/IRISImpactCategory#Health","Health","Health",""
"https://ontology.commonapproach.org/IRISImpactCategory#Infrastructure","Infrastructure","Infrastructure",""
"https://ontology.commonapproach.org/IRISImpactCategory#Land","Land","Land",""
"https://ontology.commonapproach.org/IRISImpactCategory#OceansandCoastalZones","OceansandCoastalZones","Oceans and Coastal Zones",""
"https://codelist.commonapproach.org/ESDCSector#Other","Other","Other",""
"https://ontology.commonapproach.org/IRISImpactCategory#Pollution","Pollution","Pollution",""
"https://ontology.commonapproach.org/IRISImpactCategory#RealEstate","RealEstate","Real Estate",""
"https://ontology.commonapproach.org/IRISImpactCategory#Waste","Waste","Waste",""
"https://ontology.commonapproach.org/IRISImpactCategory#Water","Water","Water",""
