"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg1","edg1","2SLGBTQIA+","People who identify as being two-spirit, lesbian, gay, bisexual, transgender, queer, intersex, asexual and others (“+”)."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg10","edg10","Women (Cisgender and Transgender)","All people who identify as women, whether they are cisgender or transgender women."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg11","edg11","Gender Diverse People: Non-Binary","People whose gender identity does not align with a binary understanding of gender such as man or woman. It is a gender identity which may include man and woman, androgynous, fluid, multiple, no gender, or a different gender outside of the “woman—man” spectrum."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg12","edg12","Gender Diverse People: Agender","People who do not identify as, or with, any particular gender."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg13","edg13","Gender Diverse People: Other","People whose gender identity does not align with any of the other options provided."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg2","edg2","Black People","People belonging to any of various population groups of especially African ancestry often considered as having dark pigmentation of the skin but in fact having a wide range of skin colours."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg3","edg3","First Generation Immigrants, Refugees & Newcomers","People who were born outside Canada. For the most part, these are people who are now, or once were, immigrants to Canada. People who were forced to flee from persecution in their home country. This includes Convention refugees (as defined by the Immigration and Refugee Protection Act (S.C. 2001, c. 27)) and asylum-seekers or refugee claimants. Immigrants and Refugees that have been in Canada for less than five years."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg4","edg4","Indigenous Peoples: First Nations","In Canada, Indigenous people who are part of a First Nation or whose ancestors were part of a First Nation. A First Nation person can be a Status or Non-Status Indian."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg5","edg5","Indigenous Peoples: Inuit","In Canada, Indigenous People that inhabit or that traditionally inhabited the northern regions and Arctic coasts of Canada known as Inuit Nunangat, and whose members are united by a common origin, history and culture."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg6","edg6","Indigenous Peoples: Métis","In Canada, Indigenous People whose members are of mixed First Nations and European ancestry, are united by a common origin, history and culture, and are generally accepted by the Métis Nation."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg7","edg7","Official Languages Minority Communities","In Canada, official-language minority communities are mainly French-speaking people living outside the province of Quebec and English-speaking people living in the province of Quebec."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg8","edg8","Other Racialized Peoples","People other than Indigenous peoples or Black Canadians who are non-Caucasian in race or non-white in colour (refer to the Statistics Canada definition for “visible minorities”)."
"https://codelist.commonapproach.org/EquityDeservingGroupsESDC#edg9","edg9","People Living with a Disability (including invisible and episodic disabilities)",""
