"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/ICNPOSector#sec1","1","Culture and Recreation",""
"https://codelist.commonapproach.org/ICNPOSector#sec10","10","Religion",""
"https://codelist.commonapproach.org/ICNPOSector#sec11","11","Business and Professional Associations, Unions",""
"https://codelist.commonapproach.org/ICNPOSector#sec12","12","Not Elsewhere Classified",""
"https://codelist.commonapproach.org/ICNPOSector#sec2","2","Education and Research",""
"https://codelist.commonapproach.org/ICNPOSector#sec3","3","Health",""
"https://codelist.commonapproach.org/ICNPOSector#sec4","4","Social Services",""
"https://codelist.commonapproach.org/ICNPOSector#sec5","5","Environment",""
"https://codelist.commonapproach.org/ICNPOSector#sec6","6","Development and Housing",""
"https://codelist.commonapproach.org/ICNPOSector#sec7","7","Law, Advocacy, and Politics",""
"https://codelist.commonapproach.org/ICNPOSector#sec8","8","Philanthropic Intermediaries and Voluntarism Promotion",""
"https://codelist.commonapproach.org/ICNPOSector#sec9","9","International",""
