"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/IRISImpactTheme#AccesstoQualityEducation","AccesstoQualityEducation","Access to Quality Education",""
"https://codelist.commonapproach.org/IRISImpactTheme#AccesstoQualityHealthcare","AccesstoQualityHealthcare","Access to Quality Healthcare",""
"https://codelist.commonapproach.org/IRISImpactTheme#AffordableQualityHousing","AffordableQualityHousing","Affordable Quality Housing",""
"https://codelist.commonapproach.org/IRISImpactTheme#BiodiversityandEcosystemConservation","BiodiversityandEcosystemConservation","Biodiversity and Ecosystem Conservation",""
"https://codelist.commonapproach.org/IRISImpactTheme#CleanAir","CleanAir","Clean Air",""
"https://codelist.commonapproach.org/IRISImpactTheme#CleanEnergy","CleanEnergy","Clean Energy",""
"https://codelist.commonapproach.org/IRISImpactTheme#ClimateChangeMitigation","ClimateChangeMitigation","Climate Change Mitigation",""
"https://codelist.commonapproach.org/IRISImpactTheme#ClimateResilienceandAdaptation","ClimateResilienceandAdaptation","Climate Resilience and Adaptation",""
"https://codelist.commonapproach.org/IRISImpactTheme#EnergyAccess","EnergyAccess","Energy Access",""
"https://codelist.commonapproach.org/IRISImpactTheme#EnergyEfficiency","EnergyEfficiency","Energy Efficiency",""
"https://codelist.commonapproach.org/IRISImpactTheme#FinancialInclusion","FinancialInclusion","Financial Inclusion",""
"https://codelist.commonapproach.org/IRISImpactTheme#FoodSecurity","FoodSecurity","Food Security",""
"https://codelist.commonapproach.org/IRISImpactTheme#GenderLens","GenderLens","Gender Lens",""
"https://codelist.commonapproach.org/IRISImpactTheme#GreenBuildings","GreenBuildings","Green Buildings",""
"https://codelist.commonapproach.org/IRISImpactTheme#MarineResourcesConservationandManagement","MarineResourcesConservationandManagement","Marine Resources Conservation & Management",""
"https://codelist.commonapproach.org/IRISImpactTheme#NaturalResourcesConservation","NaturalResourcesConservation","Natural Resources Conservation",""
"https://codelist.commonapproach.org/IRISImpactTheme#Nutrition","Nutrition","Nutrition",""
"https://codelist.commonapproach.org/IRISImpactTheme#PollutionPrevention","PollutionPrevention","Pollution Prevention",""
"https://codelist.commonapproach.org/IRISImpactTheme#QualityJobs","QualityJobs","Quality Jobs",""
"https://codelist.commonapproach.org/IRISImpactTheme#RacialEquity","RacialEquity","Racial Equity",""
"https://codelist.commonapproach.org/IRISImpactTheme#ResilientInfrastructure","ResilientInfrastructure","Resilient Infrastructure",""
"https://codelist.commonapproach.org/IRISImpactTheme#SmallholderAgriculture","SmallholderAgriculture","Smallholder Agriculture",""
"https://codelist.commonapproach.org/IRISImpactTheme#SustainableAgriculture","SustainableAgriculture","Sustainable Agriculture",""
"https://codelist.commonapproach.org/IRISImpactTheme#SustainableForestry","SustainableForestry","Sustainable Forestry",""
"https://codelist.commonapproach.org/IRISImpactTheme#SustainableLandManagement","SustainableLandManagement","Sustainable Land Management",""
"https://codelist.commonapproach.org/IRISImpactTheme#SustainableWaterManagement","SustainableWaterManagement","Sustainable Water Management",""
"https://codelist.commonapproach.org/IRISImpactTheme#WasteManagement","WasteManagement","Waste Management",""
"https://codelist.commonapproach.org/IRISImpactTheme#WaterSanitationandHygiene","WaterSanitationandHygiene","Water Sanitation and Hygiene (WASH)",""
