"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/IrisMetric53#FP1001","FP1001","Operating Expenses","Value of expenditures incurred by the organization as a result of performing its normal business operations during the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP1012","FP1012","Interest Expenses","Value of expenditures incurred by the organization during the reporting period as a result of interest incurred on all liabilities, including any client deposit accounts held by the organization, borrowings, and subordinated debt."
"https://codelist.commonapproach.org/IrisMetric53#FP1129","FP1129","Loans Receivable Net","Net value of the organization's loans receivable as of the end of the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP1192","FP1192","Loan to Deposit (LTD) Ratio","Ratio between the organization's loans receivable gross and its total deposits as of the end of the reporting period, used to assess an organization's liquidity."
"https://codelist.commonapproach.org/IrisMetric53#FP1301","FP1301","Net Income","Value of the organization's net profit, calculated as total income minus total expenses, taxes, and cost of goods sold during the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP1307","FP1307","Capital Available: Total","Value of capital available to the organization for lending and investing as of the end of the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP1657","FP1657","EBITDA","Value of the organization's net income before interest, taxes, depreciation, and amortization during the reporting period.

EBITDA signifies Earnings Before Interest, Taxes, Depreciation, and Amortization."
"https://codelist.commonapproach.org/IrisMetric53#FP1717","FP1717","Impaired Assets","Value of assets classified as impaired under regulatory or accounting rules and recorded by the organization during the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP1996","FP1996","Total Liabilities","Value of the organization’s liabilities as of the end of the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP2213","FP2213","Accounts Receivable","Value, as of the end of the reporting period, of the organization’s outstanding debts from clients who received goods or services on credit."
"https://codelist.commonapproach.org/IrisMetric53#FP2269","FP2269","Current Liabilities","Value, as of the end of the reporting period, of all liabilities that are expected to be settled within one year in the normal course of business."
"https://codelist.commonapproach.org/IrisMetric53#FP2321","FP2321","Total Expenses","Value of all expenditures incurred by the organization during the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP2392","FP2392","Impairment Loss Allowance","Value of the organization’s contra asset account set up as a provision for a potential future loss of capital that has been lent out by the organization as of the end of the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP2460","FP2460","Gross Incurred Claims","Value of the organization’s gross incurred claims as of the end of the reporting period."
"https://codelist.commonapproach.org/IrisMetric53#FP2553","FP2553","Financial Expenses","Value of expenditures incurred by the organization during the reporting period to settle interest, fees, and commissions incurred on the organization’s financial liabilities—including, among others, any client deposit accounts held by the organization, borrowings, and subordinated debt."
