"URL","CODE","LABEL_EN","DESCRIPTION_EN","LABEL_FR","DESCRIPTION_FR"
"https://codelist.commonapproach.org/PalierFixeElement#2elgbtqia","2elgbtqia","","","Les personnes 2ELGBTQIA+ ciblées dans vos actions",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000010","PF000010","","","L’entreprise définit son territoire d’intervention",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000020","PF000020","","","Dans quelle MRC est-ce que l'entreprise agit ?",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000030","PF000030","","","Option A : Est-ce que cette MRC est dans le quatrième ou cinquième quintile de dévitalisation selon ISQ ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000040","PF000040","","","Option B : Si l'entreprise est localisée dans une grande ville,  est-ce que son adresse est classé C4 ou C5 selon l'indice de défavorisation matérielle et sociale ? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000050","PF000050","","","L’offre existante est mal adaptée aux besoins (prix, qualité, accessibilité, pertinence, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000060","PF000060","","","L’offre existante est insuffisante pour répondre aux besoins (la demande dépasse largement l’offre disponible)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000070","PF000070","","","Il n’y a pratiquement pas d’autre offre disponible (les alternatives à votre organisation sont quasi inexistantes ou très limitées)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000080","PF000080","","","L’offre constitue une alternative intéressante au marché dominant (le service ou produit proposé apporte une option différente ou complémentaire par rapport aux offres traditionnelles)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000090","PF000090","","","L'entreprise dessert des entreprises ou des personnes ? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000100","PF000100","","","Si les deux, qui est la clientèle primaire? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000110","PF000110","","","Est-ce que l'entreprise a un mécanisme formel pour capter le nombre de personnes OU entreprises rejointes?",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000120","PF000120","","","Si oui, comment cette information est captée ? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000140","PF000140","","","Si l'entreprise a un mécanisme formel et qu'elle dessert d'autres entreprises, combien de clients a-t-elle eu dans la dernière année financière ? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000150","PF000150","","","Si l'entreprise dessert directement des personnes : combien de personnes ont été rejointes directement par l’ensemble des activités, programmes ou services de l’entreprise au cours de sa dernière année financière ?",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000160","PF000160","","","Comment évaluez-vous l’intensité des liens avec les personnes ou entreprises rejointes? (répondre pour la clientèle primaire)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000170","PF000170","","","2ELGBTQIA+",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000180","PF000180","","","Personnes noires",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000190","PF000190","","","Immigrants de première génération, réfugiés et nouveaux arrivants",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000200","PF000200","","","Autochtones : Premières Nations",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000210","PF000210","","","Autochtones : Inuits",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000220","PF000220","","","Autochtones : Métis",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000230","PF000230","","","Autochtones : Non spécifié",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000240","PF000240","","","Communautés de langue officielle en situation minoritaire",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000260","PF000260","","","Personnes vivant avec un handicap (y compris les handicaps invisibles et épisodiques)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000270","PF000270","","","Femmes",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000280","PF000280","","","Personnes de diverses identités de genre",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000290","PF000290","","","Les personnes vivant de la précarité économique ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000300","PF000300","","","Les personnes en situation d'itinérance",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000310","PF000310","","","Les personnes aînées ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000320","PF000320","","","Les jeunes de 35 ans et moins ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000340","PF000340","","","Toutes autres groupes méirtant l'équité",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000460","PF000460","","","Municipalité",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000470","PF000470","","","MRC",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000480","PF000480","","","Provincial",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000490","PF000490","","","Fédéral",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000500","PF000500","","","Instance de concertation (Tables de quartier, Corporation de Développement Communautaire, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000510","PF000510","","","Entreprises et/ou organisations voisines",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000520","PF000520","","","Société civile",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000530","PF000530","","","Entreprises du même secteur d'activité",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000540","PF000540","","","Regroupements, fédérations, comités sectoriels",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000550","PF000550","","","Partenaires financiers de la finance solidaire (Fiducie, RISQ, Fondaction, Caisse d'économie solidaire, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000560","PF000560","","","Institution financière locale (caisse Desjardins locale, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000570","PF000570","","","Municipalité",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000580","PF000580","","","MRC",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000590","PF000590","","","Provincial",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000600","PF000600","","","Fédéral",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000610","PF000610","","","Instance de concertation (Tables de quartier, Corporation de Développement Communautaire, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000620","PF000620","","","Entreprises et/ou organisations voisines",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000630","PF000630","","","Société civile",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000640","PF000640","","","Entreprises du même secteur d'activité",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000650","PF000650","","","Regroupements, fédérations, comités sectoriels",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000660","PF000660","","","Partenaires financiers de la finance solidaire (Fiducie, RISQ, Fondaction, Caisse d'économie solidaire, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000670","PF000670","","","Institution financière locale (caisse Desjardins locale, etc.)",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000680","PF000680","","","Si l’entreprise dessert une ou plusieurs populations particulières (voir indicateur 1.B.1), est-ce que l’organisation tisse des liens avec des organismes et/ou des groupes qui représentent et desservent ces mêmes populations ? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000690","PF000690","","","Si oui, lesquels ?",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000700","PF000700","","","Est-ce que l'entreprise a une politique d'approvisionnement dans laquelle elle nomme prioriser les achats chez les fournisseurs et producteurs locaux? ",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000710","PF000710","","","Est-ce que l'entreprise est en mesure de suivre les montants ($) effectués chez les fournisseurs et producteurs locaux ?",""
"https://codelist.commonapproach.org/PalierFixeElement#PF000720","PF000720","","","Si oui: montant total des achats (biens et services) effectués auprès de fournisseurs et/ou producteurs dans la dernière année financière",""
