"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/PopulationServed#ps1","ps1","2SLGBTQIA+","People who identify as being two-spirit, lesbian, gay, bisexual, transgender, queer, intersex, asexual and others (“+”)."
"https://codelist.commonapproach.org/PopulationServed#ps10","ps10","First Generation Immigrants, Refugees & Newcomers","People who were born outside Canada. For the most part, these are people who are now, or once were, immigrants to Canada. People who were forced to flee from persecution in their home country. This includes Convention refugees (as defined by the Immigration and Refugee Protection Act (S.C. 2001, c. 27)) and asylum-seekers or refugee claimants. Immigrants and Refugees that have been in Canada for less than five years."
"https://codelist.commonapproach.org/PopulationServed#ps11","ps11","Lone Parent Families","Families or homes where there is one parent present or living there. The lone, or single, parent can be any sex or gender, any ethnicity, and any sexuality. They do not have to be blood-related parents either to be classed as a parent."
"https://codelist.commonapproach.org/PopulationServed#ps12","ps12","Northern Canadian Communities","Communities located, and people living, in Northern Canada, which is defined as: The three Canadian territories (Yukon, Northwest Territories, and Nunavut), and the northern extent of Newfoundland and Labrador, Quebec, Ontario, Manitoba, Saskatchewan, Alberta and British Columbia. North is based on provincially determined definitions that generally reflect administrative regions."
"https://codelist.commonapproach.org/PopulationServed#ps13","ps13","Official Languages Minority Communities","In Canada, official-language minority communities are mainly French-speaking people living outside the province of Quebec and English-speaking people living in the province of Quebec."
"https://codelist.commonapproach.org/PopulationServed#ps14","ps14","People Experiencing Homelessness or Housing Insecurities","People without stable, safe, permanent, appropriate housing, or the immediate prospect, means, and ability of acquiring it."
"https://codelist.commonapproach.org/PopulationServed#ps15","ps15","People Living on Low Income","People living on low income as defined by any of several relative indicators/thresholds used by the Government of Canada to measure low income: low income cut-offs (LICOs), market basket measure (MBM), and/or low income measure (LIM)."
"https://codelist.commonapproach.org/PopulationServed#ps16","ps16","People Living with Cognitive or Mental Health Related Issues","People living with disabilities, impairments, and/or functional limitations related to cognitive, learning, communication or mental health related issues, whether apparent or not, and permanent, temporary or episodic in nature, that hinders their full and equal participation in society when they face a barrier."
"https://codelist.commonapproach.org/PopulationServed#ps17","ps17","People Living with Physical,Sensory or Pain Related Disabilities","People living with disabilities, impairments, and/or functional limitations related to physical, sensory, or pain, whether apparent or not, and permanent, temporary or episodic in nature, that hinders their full and equal participation in society when they face a barrier."
"https://codelist.commonapproach.org/PopulationServed#ps18","ps18","People Living with Terminal or Chronic Illness/Diseases","People living with disabilities, impairments, and/or functional limitations related to terminal or chronic illness/disease, whether apparent or not, and permanent, temporary or episodic in nature, that hinders their full and. equal participation in society when they face a barrier."
"https://codelist.commonapproach.org/PopulationServed#ps19","ps19","People of Advanced Age (65+)","People who are 65 and older."
"https://codelist.commonapproach.org/PopulationServed#ps2","ps2","Gender Diverse People: Agender","People who do not identify as, or with, any particular gender."
"https://codelist.commonapproach.org/PopulationServed#ps20","ps20","People without Advanced Educational Qualification","People that have not completed any university, college or other post-secondary qualification."
"https://codelist.commonapproach.org/PopulationServed#ps21","ps21","Survivors of Domestic Violence, Sexual assault, Abuse or Stalking","People who identify as being survivors of domestic violence, including intimate partner violence, sexual assault, stalking and/or harassment."
"https://codelist.commonapproach.org/PopulationServed#ps22","ps22","Women (Cisgender and Transgender)","All people who identify as women, whether they are cisgender or transgender women."
"https://codelist.commonapproach.org/PopulationServed#ps23","ps23","Children (Ages 0-15)","Any person aged 0-15."
"https://codelist.commonapproach.org/PopulationServed#ps24","ps24","Youth (Ages 15-24)","Any person aged 15-24."
"https://codelist.commonapproach.org/PopulationServed#ps25","ps25","General Population",""
"https://codelist.commonapproach.org/PopulationServed#ps26","ps26","Indigenous Peoples: Not Otherwise Specified","In Canada, individuals who self-identify as Indigenous (First Nations, Inuit, or Métis) but do not specify their group affiliation, are unsure of their specific ancestry, or identify with another Indigenous community not listed separately."
"https://codelist.commonapproach.org/PopulationServed#ps27","ps27","People Living with a Disability (including invisible and episodic disabilities)","People Living with a Disability (including invisible and episodic disabilities)"
"https://codelist.commonapproach.org/PopulationServed#ps3","ps3","Gender Diverse People: Non-Binary","People whose gender identity does not align with a binary understanding of gender such as man or woman. It is a gender identity which may include man and woman, androgynous, fluid, multiple, no gender, or a different gender outside of the “woman—man” spectrum."
"https://codelist.commonapproach.org/PopulationServed#ps4","ps4","Gender Diverse People: Other","People whose gender identity does not align with any of the other options provided."
"https://codelist.commonapproach.org/PopulationServed#ps5","ps5","Black People","People belonging to any of various population groups of especially African ancestry often considered as having dark pigmentation of the skin but in fact having a wide range of skin colours."
"https://codelist.commonapproach.org/PopulationServed#ps6","ps6","Indigenous Peoples: First Nations","In Canada, Indigenous people who are part of a First Nation or whose ancestors were part of a First Nation. A First Nation person can be a Status or Non-Status Indian."
"https://codelist.commonapproach.org/PopulationServed#ps7","ps7","Indigenous Peoples: Inuit","In Canada, Indigenous People that inhabit or that traditionally inhabited the northern regions and Arctic coasts of Canada known as Inuit Nunangat, and whose members are united by a common origin, history and culture."
"https://codelist.commonapproach.org/PopulationServed#ps8","ps8","Indigenous Peoples: Métis","In Canada, Indigenous People whose members are of mixed First Nations and European ancestry, are united by a common origin, history and culture, and are generally accepted by the Métis Nation."
"https://codelist.commonapproach.org/PopulationServed#ps9","ps9","Other Racialized Peoples","People other than Indigenous peoples or Black Canadians who are non-Caucasian in race or non-white in colour (refer to the Statistics Canada definition for “visible minorities”)."
