#URL, CODE, LABEL_EN, DESCRIPTION_EN
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#AB","AB","Alberta",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#BC","BC","British Columbia",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#MB","MB","Manitoba",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#NB","NB","New Brunswick",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#NL","NL","Newfoundland and Labrador",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#NS","NS","Nova Scotia",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#NT","NT","Northwest Territories",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#NU","NU","Nunavut",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#ON","ON","Ontario",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#PE","PE","Prince Edward Island",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#QC","QC","Quebec",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#SK","SK","Saskatchewan",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#YT","YT","Yukon",""
"https://codelist.commonapproach.org/codeLists/ProvinceTerritory#CAN","CAN","All of Canada",""
