"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://codelist.commonapproach.org/SELI-GLI","None","SELI-GLI Assessment",""
"https://codelist.commonapproach.org/SELI-GLI#Theme1","None","SELI-GLI Assessment",""
"https://codelist.commonapproach.org/SELI-GLI#Outcome1","None","Mission Alignment",""
"https://codelist.commonapproach.org/SELI-GLI#Outcome2","None","Leadership",""
"https://codelist.commonapproach.org/SELI-GLI#Outcome3","None","Culture and Practices",""
"https://codelist.commonapproach.org/SELI-GLI#Outcome4","None","Indigenous Reconciliation",""
"https://codelist.commonapproach.org/SELI-GLI#Outcome5","None","Aggregate SELI and GLI classification",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator1","None","Are your products/services designed to support equity-deserving groups, and promote social equity?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator2","None","Are your products/services designed to support women or/and gender-diverse people, and promote gender equality?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator3","None","Do you integrate a social equity analysis while developing your prodcts/services?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator4","None","Do you integrate a gender analysis while developing your products/services?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator5","None","Is your leadership* (i.e. founder, owner, and/or senior management) composed of member(s) of an equity-deserving group?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator6","None","Is your leadership* (i.e. founder, owner, and/or senior management) composed of women or/and gender-diverse people?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator7","None","Do you provide formal or/and informal ways for your clients/customers to inform your product design, decision making, etc.?",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator8","None","Have you built meaningful social equity practices within your internal organizational culture? (Assessed only for social purpose organizations in operation for over 2 years and employing 5 full-time staff or more.)",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator9","None","How do you advance Indigenous Reconciliation within your work? (Not for assessment as part of SELI/GLI Thresholds)",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator10","None","Social Equity Lens Investment Assessment",""
"https://codelist.commonapproach.org/SELI-GLI#Indicator11","None","Gender Lens Investment Assessment",""
