"URL","CODE","LABEL_EN","DESCRIPTION_EN"
"https://ontology.commonapproach.org/cids#cad","$CAD","Canadian Dollar","Use for Indicators multi-typed as i72:Sum or i72:Mean, representing a financial value."
"https://ontology.commonapproach.org/cids#cadMillions","$CAD(M)","Millions of Canadian Dollars","Use for Indicators multi-typed as i72:Sum or i72:Mean, representing a financial value."
"https://ontology.commonapproach.org/cids#percentUnit","%","Percent","A generic unit for percentages. The Indicator should be multi-typed as i72:RatioIndicator for clarity."
"https://ontology.commonapproach.org/cids#megawatt","MW","Megawatt","A unit of power. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#megawattHour","MWh","Megawatt-hour","A unit of energy. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#megatonne","Mt","Megatonne","A unit of mass, typically for GHG emissions. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#countUnit","count","Count","A count of discrete items. Use for Indicators multi-typed as i72:Cardinality. The 'unitDescription' should be used to create the i72:Population."
"https://ontology.commonapproach.org/cids#dayUnit","days","Days","A unit of time. Use for Indicators multi-typed as i72:Sum or i72:Mean, representing a duration."
"https://ontology.commonapproach.org/cids#foot","ft","Foot","A non-SI unit of length."
"https://ontology.commonapproach.org/cids#kilowattHour","kWh","Kilowatt-hour","A unit of energy. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#kilogram","kg","Kilogram","A unit of mass. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#squareMeter","m^2","Square Meter","A unit of area. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#cubicMeter","m^3","Cubic Meter","A unit of volume. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#ratioUnit","ratio","Ratio","A generic unit for ratios where the numerator and denominator are not specified. The Indicator should be multi-typed as i72:RatioIndicator."
"https://ontology.commonapproach.org/cids#scoreUnit","score","Score","A generic unit for scores or points. The Indicator should be linked to a formal scale definition (e.g., i72:Ordinal_scale or a cids:Code) via the i72:measurement_scale property."
"https://ontology.commonapproach.org/cids#squareFoot","sq ft","Square Foot","A non-SI unit of area. Use for Indicators multi-typed as i72:Sum or i72:Mean."
"https://ontology.commonapproach.org/cids#tonne","t","Tonne","A unit of mass equivalent to 1,000 kilograms. Use for Indicators multi-typed as i72:Sum or i72:Mean. Pragmatically defined as a singular unit for ease of use."
